 ,Label,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,processed,637.071,64884.011,1460.354,18.250,1460.353,18.251,142.150,38.155,21.259,151.606,0.396,1.795,0.557,0.769
2,processed,67.674,64941.069,1385.043,13.722,1385.042,13.722,32.035,13.188,6.534,54.598,0.829,2.019,0.495,0.853
3,processed,497.056,64869.469,163.774,19.619,163.773,19.619,99.838,30.854,20.512,167.932,0.627,1.504,0.665,0.816
4,processed,842.428,64829.765,639.944,28.240,639.944,28.237,126.657,36.502,29.385,96.512,0.660,1.242,0.805,0.849
5,processed,716.414,64853.450,995.527,24.240,995.530,24.238,101.998,31.988,28.516,7.498,0.865,1.122,0.891,0.894
6,processed,1155.129,64837.931,1075.106,28.418,1075.105,28.415,136.717,41.188,35.708,19.074,0.777,1.153,0.867,0.901
7,processed,1059.452,64852.374,385.577,32.393,385.577,32.392,144.988,39.601,34.063,45.603,0.633,1.163,0.860,0.870
8,processed,1327.815,64838.710,465.630,32.487,465.629,32.481,138.878,42.811,39.491,16.477,0.865,1.084,0.922,0.920
9,processed,667.408,64905.888,1163.666,26.285,1163.664,26.284,146.471,31.906,26.634,45.988,0.391,1.198,0.835,0.746
10,processed,91.010,64941.410,1363.353,21.210,1363.354,21.210,42.466,14.217,8.151,68.829,0.634,1.744,0.573,0.772
11,processed,1234.472,64827.853,726.954,34.527,726.955,34.527,132.026,40.260,39.041,115.599,0.890,1.031,0.970,0.937
12,processed,1397.823,64776.242,816.212,34.501,816.212,34.502,139.248,44.263,40.209,12.280,0.906,1.101,0.908,0.949
13,processed,1183.133,64814.369,902.816,33.353,902.813,33.353,132.767,39.863,37.790,9.275,0.843,1.055,0.948,0.918
14,processed,728.082,64875.003,1242.501,32.060,1242.502,32.060,145.359,34.446,26.912,150.445,0.433,1.280,0.781,0.726
15,processed,399.045,64851.468,1288.522,22.570,1288.522,22.568,78.080,29.742,17.083,177.707,0.823,1.741,0.574,0.905
16,processed,935.771,64905.005,1422.021,37.480,1422.021,37.478,154.371,45.610,26.123,101.818,0.493,1.746,0.573,0.789
17,processed,2517.949,64781.788,558.085,59.739,558.089,59.727,256.522,87.674,36.567,84.685,0.481,2.398,0.417,0.801
